x,Volume-max,Volume-min
1.9578,3.82,4.34
1.9681,3.99,4.36
3.0861,23.16,7.69
4.1945,43.74,17.02
5.0658,63.36,31.27
5.178,66.41,33.15
6.1303,103.43,48.42
6.4816,122.24,55.95
6.9888,147.5,67.11
7.9913,191.43,83.64
8.0191,192.57,84.08
8.987,231.35,99.36
9.9734,272.35,111.58
9.9868,272.94,111.76
10.9905,319.47,125.9
11.8563,358.67,136.61
12.3534,378.74,142.74
13.8384,434.19,161.45
14.5342,461.66,169.67
15.8205,515.11,184
16.7149,552.23,196.61
17.8026,596.04,217.38
18.8955,638.13,239.74
19.7848,671.56,254.91
21.0762,720.27,272.07
21.7669,747.08,280.35
23.4552,813.51,299
23.8481,828,306.14
25.6359,888.12,336.73
25.9294,898.12,342.31
27.99,972.9,375.81
28.0107,973.64,376.08
30.092,1043.76,393.99
30.493,1056.84,395.99
32.1733,1113.89,403.77
32.9712,1143.74,406.72
34.1555,1189.41,409.68
35.3504,1233.02,412.06
36.1376,1259.53,413.92
37.8286,1309.07,417.39
38.219,1318.86,417.77
40.2078,1361.59,417.33
40.4987,1367.38,417.14
